"Time (s) Run #1";"Current (A) Run #1";"Temperature (°C) Run #1";"ΔT (°C) Run #1";"ΔE₁ (J) Run #1";"ΔE (J) Run #1"
479,500;0,458;26,14;2,13;0,21;544,89
479,600;0,504;26,14;2,13;0,25;545,14
479,700;0,328;26,14;2,13;0,11;545,25
479,800;0,337;26,16;2,15;0,11;545,37
479,900;0,434;26,13;2,12;0,19;545,55
480,000;0,478;26,16;2,15;0,23;545,78
480,100;0,289;26,16;2,15;0,08;545,87
480,200;0,396;26,16;2,15;0,16;546,02
480,300;0,522;26,16;2,15;0,27;546,29
480,400;0,427;26,16;2,15;0,18;546,48
480,500;0,271;26,16;2,15;0,07;546,55
480,600;0,455;26,13;2,12;0,21;546,76
480,700;0,503;26,14;2,13;0,25;547,01
480,800;0,273;26,14;2,13;0,07;547,09
480,900;0,335;26,16;2,15;0,11;547,20
481,000;0,510;26,18;2,17;0,26;547,46
481,100;0,436;26,17;2,16;0,19;547,65
481,200;0,257;26,17;2,16;0,07;547,71
481,300;0,384;26,16;2,15;0,15;547,86
481,400;0,532;26,16;2,15;0,28;548,14
481,500;0,348;26,14;2,13;0,12;548,26
481,600;0,311;26,16;2,15;0,10;548,36
481,700;0,464;26,17;2,16;0,22;548,58
481,800;0,469;26,14;2,13;0,22;548,80
481,900;0,289;26,18;2,17;0,08;548,88
482,000;0,331;26,14;2,13;0,11;548,99
482,100;0,517;26,17;2,16;0,27;549,26
482,200;0,416;26,16;2,15;0,17;549,43
482,300;0,266;26,14;2,13;0,07;549,50
482,400;0,365;26,17;2,16;0,13;549,63
482,500;0,523;26,16;2,15;0,27;549,91
482,600;0,348;26,17;2,16;0,12;550,03
482,700;0,262;26,17;2,16;0,07;550,10
482,800;0,401;26,16;2,15;0,16;550,26
482,900;0,496;26,16;2,15;0,25;550,50
483,000;0,292;26,16;2,15;0,08;550,59
483,100;0,286;26,14;2,13;0,08;550,67
483,200;0,418;26,18;2,17;0,17;550,85
483,300;0,464;26,16;2,15;0,21;551,06
483,400;0,299;26,16;2,15;0,09;551,15
483,500;0,269;26,16;2,15;0,07;551,22
483,600;0,441;26,16;2,15;0,19;551,42
483,700;0,474;26,16;2,15;0,22;551,64
483,800;0,258;26,16;2,15;0,07;551,71
483,900;0,236;26,17;2,16;0,06;551,76
484,000;0,413;26,17;2,16;0,17;551,93
484,100;0,498;26,16;2,15;0,25;552,18
484,200;0,236;26,14;2,13;0,06;552,24
484,300;0,238;26,17;2,16;0,06;552,30
484,400;0,362;26,18;2,17;0,13;552,43
484,500;0,466;26,18;2,17;0,22;552,64
484,600;0,309;26,18;2,17;0,10;552,74
484,700;0,261;26,18;2,17;0,07;552,81
484,800;0,272;26,18;2,17;0,07;552,88
484,900;0,167;26,16;2,15;0,03;552,91
485,000;0,107;26,17;2,16;0,01;552,92
485,100;0,323;26,19;2,18;0,10;553,02
485,200;0,353;26,16;2,15;0,12;553,15
485,300;0,218;26,18;2,17;0,05;553,20
485,400;0,422;26,17;2,16;0,18;553,38
485,500;0,519;26,18;2,17;0,27;553,64
485,600;0,282;26,18;2,17;0,08;553,72
485,700;0,322;26,18;2,17;0,10;553,83
485,800;0,449;26,18;2,17;0,20;554,03
485,900;0,478;26,17;2,16;0,23;554,26
486,000;0,300;26,17;2,16;0,09;554,35
486,100;0,300;26,17;2,16;0,09;554,44
486,200;0,456;26,19;2,18;0,21;554,65
486,300;0,492;26,21;2,20;0,24;554,89
486,400;0,218;26,18;2,17;0,05;554,93
486,500;0,366;26,19;2,18;0,13;555,07
486,600;0,499;26,19;2,18;0,25;555,32
486,700;0,429;26,21;2,20;0,18;555,50
486,800;0,240;26,19;2,18;0,06;555,56
486,900;0,430;26,19;2,18;0,19;555,74
487,000;0,494;26,20;2,19;0,24;555,99
487,100;0,308;26,18;2,17;0,10;556,08
487,200;0,332;26,18;2,17;0,11;556,19
487,300;0,477;26,18;2,17;0,23;556,42
487,400;0,451;26,20;2,19;0,20;556,63
487,500;0,200;26,18;2,17;0,04;556,66
487,600;0,382;26,19;2,18;0,15;556,81
487,700;0,435;26,20;2,19;0,19;557,00
487,800;0,095;26,18;2,17;0,01;557,01
487,900;-1,256E-4;26,20;2,19;1,58E-8;557,01
488,000;-9,421E-5;26,20;2,19;8,88E-9;557,01
488,100;-6,281E-5;26,21;2,20;3,94E-9;557,01
488,200;-3,140E-5;26,19;2,18;9,86E-10;557,01
488,300;-6,281E-5;26,20;2,19;3,94E-9;557,01
488,400;-6,281E-5;26,18;2,17;3,94E-9;557,01
488,500;-6,281E-5;26,18;2,17;3,94E-9;557,01
488,600;-6,281E-5;26,18;2,17;3,94E-9;557,01
488,700;-6,281E-5;26,19;2,18;3,94E-9;557,01
488,800;0,000;26,20;2,19;0,00;557,01
488,900;-3,140E-5;26,19;2,18;9,86E-10;557,01
489,000;-6,281E-5;26,21;2,20;3,94E-9;557,01
489,100;0,019;26,20;2,19;3,49E-4;557,01
489,200;0,048;26,20;2,19;0,00;557,01
489,300;0,028;26,20;2,19;7,57E-4;557,01
489,400;0,002;26,19;2,18;6,00E-6;557,01
489,500;6,281E-5;26,21;2,20;3,94E-9;557,01
489,600;-3,140E-5;26,21;2,20;9,86E-10;557,01
489,700;-3,140E-5;26,20;2,19;9,86E-10;557,01
489,800;-9,421E-5;26,19;2,18;8,88E-9;557,01
489,900;-6,281E-5;26,19;2,18;3,94E-9;557,01
490,000;-6,281E-5;26,21;2,20;3,94E-9;557,01
490,100;-6,281E-5;26,21;2,20;3,94E-9;557,01
490,200;-9,421E-5;26,18;2,17;8,88E-9;557,01
490,300;-6,281E-5;26,19;2,18;3,94E-9;557,01
490,400;-6,281E-5;26,21;2,20;3,94E-9;557,01
490,500;-6,281E-5;26,20;2,19;3,94E-9;557,01
490,600;-6,281E-5;26,19;2,18;3,94E-9;557,01
490,700;-3,140E-5;26,20;2,19;9,86E-10;557,01
490,800;-1,256E-4;26,18;2,17;1,58E-8;557,01
490,900;-6,281E-5;26,19;2,18;3,94E-9;557,01
491,000;-6,281E-5;26,20;2,19;3,94E-9;557,01
491,100;-6,281E-5;26,20;2,19;3,94E-9;557,01
491,200;-9,421E-5;26,21;2,20;8,88E-9;557,01
491,300;-9,421E-5;26,21;2,20;8,88E-9;557,01
491,400;-6,281E-5;26,19;2,18;3,94E-9;557,01
491,500;-1,256E-4;26,22;2,21;1,58E-8;557,01
491,600;0,007;26,21;2,20;4,56E-5;557,01
491,700;0,064;26,18;2,17;0,00;557,02
491,800;0,016;26,22;2,21;2,50E-4;557,02
491,900;-3,140E-5;26,21;2,20;9,86E-10;557,02
492,000;0,002;26,18;2,17;5,55E-6;557,02
492,100;0,118;26,22;2,21;0,01;557,03
492,200;0,366;26,22;2,21;0,13;557,16
492,300;0,470;26,20;2,19;0,22;557,39
492,400;0,487;26,22;2,21;0,24;557,62
492,500;0,283;26,19;2,18;0,08;557,70
492,600;0,353;26,21;2,20;0,12;557,83
492,700;0,504;26,21;2,20;0,25;558,08
492,800;0,460;26,20;2,19;0,21;558,29
492,900;0,199;26,21;2,20;0,04;558,33
493,000;0,432;26,21;2,20;0,19;558,52
493,100;0,535;26,21;2,20;0,29;558,81
493,200;0,319;26,21;2,20;0,10;558,91
493,300;0,389;26,22;2,21;0,15;559,06
493,400;0,505;26,24;2,23;0,25;559,32
493,500;0,476;26,22;2,21;0,23;559,54
493,600;0,266;26,23;2,22;0,07;559,61
493,700;0,456;26,23;2,22;0,21;559,82
493,800;0,513;26,21;2,20;0,26;560,08
493,900;0,260;26,23;2,22;0,07;560,15
494,000;0,386;26,22;2,21;0,15;560,30
494,100;0,516;26,22;2,21;0,27;560,57
494,200;0,491;26,23;2,22;0,24;560,81
494,300;0,316;26,23;2,22;0,10;560,91
494,400;0,512;26,22;2,21;0,26;561,17
494,500;0,477;26,22;2,21;0,23;561,40
494,600;0,222;26,21;2,20;0,05;561,45
494,700;0,431;26,23;2,22;0,19;561,63
494,800;0,534;26,22;2,21;0,28;561,92
494,900;0,348;26,22;2,21;0,12;562,04
495,000;0,299;26,23;2,22;0,09;562,13
495,100;0,485;26,23;2,22;0,24;562,36
495,200;0,513;26,21;2,20;0,26;562,63
495,300;0,205;26,23;2,22;0,04;562,67
495,400;0,360;26,20;2,19;0,13;562,80
495,500;0,534;26,22;2,21;0,28;563,08
495,600;0,392;26,23;2,22;0,15;563,24
495,700;0,248;26,21;2,20;0,06;563,30
495,800;0,383;26,21;2,20;0,15;563,44
495,900;0,466;26,23;2,22;0,22;563,66
496,000;0,369;26,22;2,21;0,14;563,80
496,100;0,253;26,22;2,21;0,06;563,86
496,200;0,456;26,23;2,22;0,21;564,07
496,300;0,511;26,22;2,21;0,26;564,33
496,400;0,287;26,24;2,23;0,08;564,41
496,500;0,364;26,23;2,22;0,13;564,55
496,600;0,449;26,23;2,22;0,20;564,75
496,700;0,443;26,21;2,20;0,20;564,94
496,800;0,339;26,21;2,20;0,11;565,06
496,900;0,390;26,23;2,22;0,15;565,21
497,000;0,377;26,23;2,22;0,14;565,35
497,100;0,291;26,23;2,22;0,08;565,44
497,200;0,312;26,24;2,23;0,10;565,54
497,300;0,036;26,23;2,22;0,00;565,54
497,400;0,214;26,25;2,24;0,05;565,58
497,500;0,351;26,23;2,22;0,12;565,71
497,600;0,336;26,21;2,20;0,11;565,82
497,700;0,440;26,23;2,22;0,19;566,01
497,800;0,221;26,23;2,22;0,05;566,06
497,900;0,178;26,23;2,22;0,03;566,09
498,000;0,277;26,24;2,23;0,08;566,17
498,100;0,162;26,25;2,24;0,03;566,20
498,200;0,252;26,23;2,22;0,06;566,26
498,300;0,303;26,23;2,22;0,09;566,35
498,400;0,285;26,24;2,23;0,08;566,43
498,500;0,344;26,23;2,22;0,12;566,55
498,600;0,549;26,24;2,23;0,30;566,85
498,700;0,343;26,23;2,22;0,12;566,97
498,800;0,325;26,24;2,23;0,11;567,08
498,900;0,524;26,23;2,22;0,27;567,35
499,000;0,462;26,23;2,22;0,21;567,56
499,100;0,238;26,24;2,23;0,06;567,62
499,200;0,387;26,26;2,25;0,15;567,77
499,300;0,519;26,23;2,22;0,27;568,04
499,400;0,341;26,24;2,23;0,12;568,16
499,500;0,301;26,24;2,23;0,09;568,25
499,600;0,453;26,24;2,23;0,21;568,45
499,700;0,534;26,25;2,24;0,29;568,74
499,800;0,231;26,25;2,24;0,05;568,79
499,900;0,349;26,25;2,24;0,12;568,91
500,000;0,498;26,22;2,21;0,25;569,16
500,100;0,411;26,24;2,23;0,17;569,33
500,200;0,282;26,22;2,21;0,08;569,41
500,300;0,391;26,26;2,25;0,15;569,56
500,400;0,516;26,24;2,23;0,27;569,83
500,500;0,303;26,25;2,24;0,09;569,92
500,600;0,352;26,26;2,25;0,12;570,04
500,700;0,473;26,23;2,22;0,22;570,27
500,800;0,486;26,24;2,23;0,24;570,50
500,900;0,229;26,24;2,23;0,05;570,56
501,000;0,314;26,26;2,25;0,10;570,66
501,100;0,424;26,25;2,24;0,18;570,84
501,200;0,113;26,24;2,23;0,01;570,85
501,300;0,365;26,25;2,24;0,13;570,98
501,400;0,301;26,25;2,24;0,09;571,07
501,500;0,377;26,23;2,22;0,14;571,22
501,600;0,502;26,23;2,22;0,25;571,47
501,700;0,329;26,24;2,23;0,11;571,58
501,800;0,352;26,24;2,23;0,12;571,70
501,900;0,483;26,23;2,22;0,23;571,93
502,000;0,519;26,23;2,22;0,27;572,20
502,100;0,246;26,24;2,23;0,06;572,26
502,200;0,390;26,24;2,23;0,15;572,41
502,300;0,517;26,25;2,24;0,27;572,68
502,400;0,349;26,24;2,23;0,12;572,80
502,500;0,321;26,27;2,26;0,10;572,91
502,600;0,407;26,26;2,25;0,17;573,07
502,700;0,523;26,24;2,23;0,27;573,34
502,800;0,233;26,26;2,25;0,05;573,40
502,900;0,298;26,26;2,25;0,09;573,49
503,000;0,469;26,26;2,25;0,22;573,71
503,100;0,490;26,28;2,27;0,24;573,95
503,200;0,218;26,26;2,25;0,05;574,00
503,300;0,314;26,27;2,26;0,10;574,09
503,400;0,477;26,27;2,26;0,23;574,32
503,500;0,446;26,27;2,26;0,20;574,52
503,600;0,219;26,25;2,24;0,05;574,57
503,700;0,348;26,26;2,25;0,12;574,69
503,800;0,490;26,26;2,25;0,24;574,93
503,900;0,418;26,26;2,25;0,17;575,11
504,000;0,250;26,27;2,26;0,06;575,17
504,100;0,321;26,24;2,23;0,10;575,27
504,200;0,449;26,27;2,26;0,20;575,47
504,300;0,390;26,27;2,26;0,15;575,63
504,400;0,295;26,28;2,27;0,09;575,71
504,500;0,437;26,26;2,25;0,19;575,90
504,600;0,526;26,27;2,26;0,28;576,18
504,700;0,278;26,26;2,25;0,08;576,26
504,800;0,285;26,27;2,26;0,08;576,34
504,900;0,287;26,27;2,26;0,08;576,42
505,000;0,367;26,26;2,25;0,13;576,56
505,100;0,295;26,27;2,26;0,09;576,64
505,200;0,196;26,28;2,27;0,04;576,68
505,300;0,431;26,26;2,25;0,19;576,87
505,400;0,516;26,26;2,25;0,27;577,13
505,500;0,419;26,27;2,26;0,18;577,31
505,600;0,294;26,28;2,27;0,09;577,39
505,700;0,404;26,27;2,26;0,16;577,56
505,800;0,519;26,25;2,24;0,27;577,83
505,900;0,234;26,23;2,22;0,05;577,88
506,000;0,303;26,26;2,25;0,09;577,97
506,100;0,386;26,26;2,25;0,15;578,12
506,200;0,519;26,28;2,27;0,27;578,39
506,300;0,258;26,27;2,26;0,07;578,46
506,400;0,280;26,27;2,26;0,08;578,54
506,500;0,353;26,27;2,26;0,12;578,66
506,600;0,448;26,26;2,25;0,20;578,86
506,700;0,313;26,30;2,28;0,10;578,96
506,800;0,285;26,27;2,26;0,08;579,04
506,900;0,384;26,27;2,26;0,15;579,19
507,000;0,520;26,28;2,27;0,27;579,46
507,100;0,259;26,30;2,28;0,07;579,53
507,200;0,262;26,27;2,26;0,07;579,59
507,300;0,195;26,28;2,27;0,04;579,63
507,400;0,261;26,27;2,26;0,07;579,70
507,500;0,092;26,28;2,27;0,01;579,71
507,600;0,472;26,27;2,26;0,22;579,93
507,700;0,201;26,30;2,28;0,04;579,97
507,800;0,306;26,30;2,28;0,09;580,07
507,900;0,387;26,27;2,26;0,15;580,21
508,000;0,401;26,28;2,27;0,16;580,38
508,100;0,378;26,30;2,28;0,14;580,52
508,200;0,266;26,26;2,25;0,07;580,59
508,300;0,361;26,27;2,26;0,13;580,72
508,400;0,397;26,30;2,28;0,16;580,88
508,500;0,383;26,30;2,28;0,15;581,02
508,600;0,099;26,28;2,27;0,01;581,03
508,700;0,012;26,28;2,27;1,37E-4;581,03
508,800;0,242;26,31;2,30;0,06;581,09
508,900;0,275;26,30;2,28;0,08;581,17
509,000;0,376;26,30;2,28;0,14;581,31
509,100;0,449;26,31;2,30;0,20;581,51
509,200;0,154;26,28;2,27;0,02;581,54
509,300;0,280;26,28;2,27;0,08;581,61
509,400;0,440;26,30;2,28;0,19;581,81
509,500;0,455;26,28;2,27;0,21;582,01
509,600;0,251;26,28;2,27;0,06;582,08
509,700;0,245;26,30;2,28;0,06;582,14
509,800;0,326;26,30;2,28;0,11;582,24
509,900;0,458;26,27;2,26;0,21;582,45
510,000;0,289;26,28;2,27;0,08;582,54
510,100;0,177;26,30;2,28;0,03;582,57
510,200;0,303;26,30;2,28;0,09;582,66
510,300;0,442;26,30;2,28;0,20;582,86
510,400;0,407;26,32;2,31;0,17;583,02
510,500;0,267;26,30;2,28;0,07;583,09
510,600;0,275;26,31;2,30;0,08;583,17
510,700;0,402;26,32;2,31;0,16;583,33
510,800;0,470;26,30;2,28;0,22;583,55
510,900;0,259;26,30;2,28;0,07;583,62
511,000;0,263;26,28;2,27;0,07;583,69
511,100;0,350;26,33;2,32;0,12;583,81
511,200;0,477;26,32;2,31;0,23;584,04
511,300;0,322;26,31;2,30;0,10;584,14
511,400;0,180;26,30;2,28;0,03;584,17
511,500;0,275;26,31;2,30;0,08;584,25
511,600;0,435;26,30;2,28;0,19;584,44
511,700;0,422;26,31;2,30;0,18;584,62
511,800;0,216;26,31;2,30;0,05;584,66
511,900;0,263;26,30;2,28;0,07;584,73
512,000;0,383;26,32;2,31;0,15;584,88
512,100;0,487;26,30;2,28;0,24;585,12
512,200;0,192;26,30;2,28;0,04;585,15
512,300;0,200;26,32;2,31;0,04;585,19
512,400;0,161;26,30;2,28;0,03;585,22
512,500;0,173;26,32;2,31;0,03;585,25
512,600;0,200;26,32;2,31;0,04;585,29
512,700;0,422;26,33;2,32;0,18;585,47
512,800;0,253;26,32;2,31;0,06;585,53
512,900;0,293;26,30;2,28;0,09;585,62
513,000;0,417;26,30;2,28;0,17;585,79
513,100;0,484;26,31;2,30;0,23;586,02
513,200;0,343;26,31;2,30;0,12;586,14
513,300;0,209;26,31;2,30;0,04;586,19
513,400;0,419;26,32;2,31;0,18;586,36
513,500;0,483;26,32;2,31;0,23;586,60
513,600;0,341;26,32;2,31;0,12;586,71
513,700;0,332;26,32;2,31;0,11;586,82
513,800;0,483;26,32;2,31;0,23;587,05
513,900;0,445;26,28;2,27;0,20;587,25
514,000;0,307;26,32;2,31;0,09;587,35
514,100;0,376;26,32;2,31;0,14;587,49
514,200;0,512;26,34;2,33;0,26;587,75
514,300;0,314;26,31;2,30;0,10;587,85
514,400;0,301;26,31;2,30;0,09;587,94
514,500;0,443;26,33;2,32;0,20;588,14
514,600;0,495;26,32;2,31;0,24;588,38
514,700;0,240;26,31;2,30;0,06;588,44
514,800;0,331;26,32;2,31;0,11;588,55
514,900;0,471;26,33;2,32;0,22;588,77
515,000;0,472;26,33;2,32;0,22;588,99
515,100;0,235;26,32;2,31;0,06;589,05
515,200;0,350;26,32;2,31;0,12;589,17
515,300;0,473;26,32;2,31;0,22;589,39
515,400;0,448;26,30;2,28;0,20;589,60
515,500;0,251;26,32;2,31;0,06;589,66
515,600;0,336;26,32;2,31;0,11;589,77
515,700;0,466;26,32;2,31;0,22;589,99
515,800;0,429;26,32;2,31;0,18;590,17
515,900;0,270;26,31;2,30;0,07;590,25
516,000;0,379;26,32;2,31;0,14;590,39
516,100;0,507;26,32;2,31;0,26;590,65
516,200;0,358;26,32;2,31;0,13;590,78
516,300;0,264;26,33;2,32;0,07;590,84
516,400;0,369;26,34;2,33;0,14;590,98
516,500;0,464;26,33;2,32;0,22;591,20
516,600;0,313;26,34;2,33;0,10;591,29
516,700;0,287;26,33;2,32;0,08;591,38
516,800;0,437;26,32;2,31;0,19;591,57
516,900;0,513;26,33;2,32;0,26;591,83
517,000;0,391;26,32;2,31;0,15;591,98
517,100;0,284;26,35;2,34;0,08;592,06
517,200;0,445;26,33;2,32;0,20;592,26
517,300;0,441;26,34;2,33;0,19;592,46
517,400;0,290;26,34;2,33;0,08;592,54
517,500;0,307;26,34;2,33;0,09;592,64
517,600;0,452;26,34;2,33;0,20;592,84
517,700;0,428;26,32;2,31;0,18;593,02
517,800;0,300;26,34;2,33;0,09;593,11
517,900;0,330;26,35;2,34;0,11;593,22
518,000;0,466;26,34;2,33;0,22;593,44
518,100;0,430;26,33;2,32;0,18;593,62
518,200;0,253;26,32;2,31;0,06;593,69
518,300;0,328;26,33;2,32;0,11;593,80
518,400;0,470;26,33;2,32;0,22;594,02
518,500;0,427;26,33;2,32;0,18;594,20
518,600;0,267;26,33;2,32;0,07;594,27
518,700;0,342;26,34;2,33;0,12;594,39
518,800;0,451;26,35;2,34;0,20;594,59
518,900;0,372;26,34;2,33;0,14;594,73
519,000;0,239;26,33;2,32;0,06;594,79
519,100;0,365;26,33;2,32;0,13;594,92
519,200;0,461;26,34;2,33;0,21;595,13
519,300;0,387;26,34;2,33;0,15;595,28
519,400;0,259;26,35;2,34;0,07;595,35
519,500;0,350;26,34;2,33;0,12;595,47
519,600;0,431;26,35;2,34;0,19;595,66
519,700;0,385;26,35;2,34;0,15;595,81
519,800;0,264;26,33;2,32;0,07;595,88
519,900;0,337;26,33;2,32;0,11;595,99
520,000;0,465;26,33;2,32;0,22;596,20
520,100;0,433;26,35;2,34;0,19;596,39
520,200;0,286;26,34;2,33;0,08;596,47
520,300;0,315;26,36;2,35;0,10;596,57
520,400;0,403;26,33;2,32;0,16;596,74
520,500;0,382;26,33;2,32;0,15;596,88
520,600;0,234;26,37;2,36;0,05;596,94
520,700;0,333;26,36;2,35;0,11;597,05
520,800;0,386;26,34;2,33;0,15;597,20
520,900;0,398;26,34;2,33;0,16;597,35
521,000;0,149;26,34;2,33;0,02;597,38
521,100;0,351;26,33;2,32;0,12;597,50
521,200;0,372;26,36;2,35;0,14;597,64
521,300;0,463;26,34;2,33;0,21;597,85
521,400;0,325;26,34;2,33;0,11;597,96
521,500;0,253;26,36;2,35;0,06;598,02
521,600;0,313;26,33;2,32;0,10;598,12
521,700;0,437;26,37;2,36;0,19;598,31
521,800;0,395;26,36;2,35;0,16;598,47
521,900;0,229;26,36;2,35;0,05;598,52
522,000;0,298;26,35;2,34;0,09;598,61
522,100;0,386;26,35;2,34;0,15;598,76
522,200;0,395;26,35;2,34;0,16;598,91
522,300;0,232;26,35;2,34;0,05;598,97
522,400;0,360;26,36;2,35;0,13;599,10
522,500;0,421;26,37;2,36;0,18;599,27
522,600;0,481;26,35;2,34;0,23;599,51
522,700;0,241;26,34;2,33;0,06;599,56
522,800;0,290;26,37;2,36;0,08;599,65
522,900;0,349;26,34;2,33;0,12;599,77
523,000;0,473;26,35;2,34;0,22;599,99
523,100;0,250;26,36;2,35;0,06;600,05
523,200;0,265;26,36;2,35;0,07;600,13
523,300;0,427;26,36;2,35;0,18;600,31
523,400;0,502;26,36;2,35;0,25;600,56
523,500;0,251;26,36;2,35;0,06;600,62
523,600;0,334;26,36;2,35;0,11;600,73
523,700;0,394;26,36;2,35;0,16;600,89
523,800;0,490;26,38;2,37;0,24;601,13
523,900;0,236;26,38;2,37;0,06;601,19
524,000;0,331;26,36;2,35;0,11;601,29
524,100;0,364;26,36;2,35;0,13;601,43
524,200;0,451;26,37;2,36;0,20;601,63
524,300;0,266;26,36;2,35;0,07;601,70
524,400;0,347;26,35;2,34;0,12;601,82
524,500;0,378;26,36;2,35;0,14;601,96
524,600;0,442;26,37;2,36;0,20;602,16
524,700;0,273;26,36;2,35;0,07;602,23
524,800;0,312;26,37;2,36;0,10;602,33
524,900;0,386;26,36;2,35;0,15;602,48
525,000;0,468;26,38;2,37;0,22;602,70
525,100;0,311;26,38;2,37;0,10;602,80
525,200;0,311;26,36;2,35;0,10;602,89
525,300;0,391;26,36;2,35;0,15;603,05
525,400;0,485;26,38;2,37;0,24;603,28
525,500;0,256;26,38;2,37;0,07;603,35
525,600;0,310;26,37;2,36;0,10;603,44
525,700;0,338;26,36;2,35;0,11;603,56
525,800;0,458;26,37;2,36;0,21;603,77
525,900;0,270;26,38;2,37;0,07;603,84
526,000;0,359;26,36;2,35;0,13;603,97
526,100;0,450;26,38;2,37;0,20;604,17
526,200;0,504;26,38;2,37;0,25;604,42
526,300;0,279;26,38;2,37;0,08;604,50
526,400;0,327;26,38;2,37;0,11;604,61
526,500;0,394;26,38;2,37;0,16;604,76
526,600;0,411;26,38;2,37;0,17;604,93
526,700;0,277;26,39;2,38;0,08;605,01
526,800;0,321;26,38;2,37;0,10;605,11
526,900;0,438;26,39;2,38;0,19;605,31
527,000;0,452;26,38;2,37;0,20;605,51
527,100;0,256;26,38;2,37;0,07;605,58
527,200;0,307;26,38;2,37;0,09;605,67
527,300;0,389;26,39;2,38;0,15;605,82
527,400;0,446;26,38;2,37;0,20;606,02
527,500;0,247;26,37;2,36;0,06;606,08
527,600;0,364;26,38;2,37;0,13;606,21
527,700;0,436;26,38;2,37;0,19;606,40
527,800;0,458;26,38;2,37;0,21;606,61
527,900;0,243;26,40;2,39;0,06;606,67
528,000;0,281;26,38;2,37;0,08;606,75
528,100;0,172;26,38;2,37;0,03;606,78
528,200;0,282;26,38;2,37;0,08;606,86
528,300;0,439;26,36;2,35;0,19;607,05
528,400;0,212;26,38;2,37;0,05;607,10
528,500;0,394;26,39;2,38;0,16;607,25
528,600;0,478;26,41;2,40;0,23;607,48
528,700;0,468;26,37;2,36;0,22;607,70
528,800;0,232;26,39;2,38;0,05;607,76
528,900;0,346;26,37;2,36;0,12;607,87
529,000;0,477;26,39;2,38;0,23;608,10
529,100;0,425;26,40;2,39;0,18;608,28
529,200;0,175;26,38;2,37;0,03;608,31
529,300;0,369;26,37;2,36;0,14;608,45
529,400;0,472;26,39;2,38;0,22;608,67
529,500;0,433;26,39;2,38;0,19;608,86
529,600;0,268;26,39;2,38;0,07;608,93
529,700;0,367;26,38;2,37;0,13;609,07
529,800;0,484;26,38;2,37;0,23;609,30
529,900;0,351;26,37;2,36;0,12;609,42
530,000;0,278;26,40;2,39;0,08;609,50
530,100;0,332;26,39;2,38;0,11;609,61
530,200;0,434;26,41;2,40;0,19;609,80
530,300;0,346;26,39;2,38;0,12;609,92
530,400;0,290;26,40;2,39;0,08;610,00
530,500;0,365;26,38;2,37;0,13;610,14
530,600;0,468;26,39;2,38;0,22;610,36
530,700;0,351;26,39;2,38;0,12;610,48
530,800;0,299;26,40;2,39;0,09;610,57
530,900;0,372;26,40;2,39;0,14;610,71
531,000;0,490;26,38;2,37;0,24;610,95
531,100;0,300;26,40;2,39;0,09;611,04
531,200;0,301;26,40;2,39;0,09;611,13
531,300;0,341;26,39;2,38;0,12;611,24
531,400;0,444;26,40;2,39;0,20;611,44
531,500;0,309;26,39;2,38;0,10;611,54
531,600;0,333;26,40;2,39;0,11;611,65
531,700;0,367;26,40;2,39;0,13;611,78
531,800;0,465;26,40;2,39;0,22;612,00
531,900;0,266;26,40;2,39;0,07;612,07
532,000;0,344;26,39;2,38;0,12;612,19
532,100;0,457;26,40;2,39;0,21;612,40
532,200;0,505;26,42;2,41;0,26;612,65
532,300;0,223;26,39;2,38;0,05;612,70
532,400;0,338;26,40;2,39;0,11;612,82
532,500;0,459;26,40;2,39;0,21;613,03
532,600;0,468;26,43;2,42;0,22;613,25
532,700;0,224;26,38;2,37;0,05;613,30
532,800;0,323;26,39;2,38;0,10;613,40
532,900;0,397;26,41;2,40;0,16;613,56
533,000;0,472;26,40;2,39;0,22;613,78
533,100;0,250;26,41;2,40;0,06;613,84
533,200;0,386;26,41;2,40;0,15;613,99
533,300;0,485;26,39;2,38;0,23;614,23
533,400;0,384;26,40;2,39;0,15;614,37
533,500;0,275;26,40;2,39;0,08;614,45
533,600;0,344;26,42;2,41;0,12;614,57
533,700;0,449;26,40;2,39;0,20;614,77
533,800;0,360;26,40;2,39;0,13;614,90
533,900;0,293;26,40;2,39;0,09;614,99
534,000;0,383;26,41;2,40;0,15;615,13
534,100;0,499;26,41;2,40;0,25;615,38
534,200;0,312;26,41;2,40;0,10;615,48
534,300;0,321;26,41;2,40;0,10;615,58
534,400;0,333;26,41;2,40;0,11;615,69
534,500;0,418;26,40;2,39;0,17;615,87
534,600;0,323;26,40;2,39;0,10;615,97
534,700;0,301;26,40;2,39;0,09;616,06
534,800;0,358;26,40;2,39;0,13;616,19
534,900;0,456;26,40;2,39;0,21;616,40
535,000;0,365;26,43;2,42;0,13;616,53
535,100;0,304;26,43;2,42;0,09;616,62
535,200;0,343;26,42;2,41;0,12;616,74
535,300;0,479;26,43;2,42;0,23;616,97
535,400;0,330;26,43;2,42;0,11;617,08
535,500;0,275;26,42;2,41;0,08;617,15
535,600;0,265;26,43;2,42;0,07;617,22
535,700;0,358;26,41;2,40;0,13;617,35
535,800;0,388;26,41;2,40;0,15;617,50
535,900;0,222;26,42;2,41;0,05;617,55
536,000;0,393;26,42;2,41;0,15;617,71
536,100;0,466;26,45;2,43;0,22;617,92
536,200;0,431;26,42;2,41;0,19;618,11
536,300;0,296;26,43;2,42;0,09;618,20
