"Time (s) Run #1";"Current (A) Run #1";"Temperature (°C) Run #1";"ΔT (°C) Run #1";"ΔE₁ (J) Run #1";"ΔE (J) Run #1"
18,400;0,075;24,04;0,03;0,01;12,93
18,500;0,096;24,04;0,03;0,01;12,94
18,600;0,110;24,07;0,06;0,01;12,95
18,700;0,091;24,04;0,03;0,01;12,96
18,800;0,051;24,05;0,04;0,00;12,96
18,900;0,086;24,04;0,03;0,01;12,97
19,000;0,092;24,05;0,04;0,01;12,98
19,100;0,062;24,05;0,04;0,00;12,98
19,200;0,061;24,05;0,04;0,00;12,99
19,300;0,092;24,04;0,03;0,01;13,00
19,400;0,066;24,04;0,03;0,00;13,00
19,500;0,035;24,04;0,03;0,00;13,00
19,600;0,106;24,03;0,02;0,01;13,01
19,700;0,079;24,06;0,05;0,01;13,02
19,800;0,046;24,06;0,05;0,00;13,02
19,900;0,057;24,06;0,05;0,00;13,02
20,000;0,072;24,05;0,04;0,01;13,03
20,100;0,060;24,06;0,05;0,00;13,03
20,200;0,039;24,05;0,04;0,00;13,03
20,300;0,067;24,07;0,06;0,00;13,04
20,400;0,076;24,06;0,05;0,01;13,04
20,500;0,053;24,05;0,04;0,00;13,05
20,600;0,016;24,05;0,04;2,72E-4;13,05
20,700;0,066;24,02;0,01;0,00;13,05
20,800;0,073;24,04;0,03;0,01;13,06
20,900;0,049;24,04;0,03;0,00;13,06
21,000;0,035;24,06;0,05;0,00;13,06
21,100;0,075;24,05;0,04;0,01;13,07
21,200;0,050;24,04;0,03;0,00;13,07
21,300;0,012;24,05;0,04;1,52E-4;13,07
21,400;0,023;24,03;0,02;5,40E-4;13,07
21,500;0,033;24,04;0,03;0,00;13,07
21,600;0,045;24,06;0,05;0,00;13,07
21,700;-7,537E-4;24,04;0,03;5,68E-7;13,07
21,800;-0,022;24,06;0,05;4,70E-4;13,07
21,900;-0,008;24,04;0,03;6,62E-5;13,07
22,000;-0,004;24,06;0,05;1,40E-5;13,07
22,100;-9,421E-5;24,05;0,04;8,88E-9;13,07
22,200;-0,002;24,06;0,05;6,00E-6;13,07
22,300;-1,256E-4;24,04;0,03;1,58E-8;13,07
22,400;-3,140E-5;24,04;0,03;9,86E-10;13,07
22,500;-6,281E-5;24,06;0,05;3,94E-9;13,07
22,600;-1,256E-4;24,04;0,03;1,58E-8;13,07
22,700;-6,281E-5;24,05;0,04;3,94E-9;13,07
22,800;0,000;24,03;0,02;0,00;13,07
22,900;0,003;24,04;0,03;6,96E-6;13,07
23,000;0,018;24,05;0,04;3,42E-4;13,07
23,100;0,045;24,05;0,04;0,00;13,08
23,200;0,035;24,05;0,04;0,00;13,08
23,300;0,030;24,05;0,04;9,30E-4;13,08
23,400;0,019;24,05;0,04;3,51E-4;13,08
23,500;0,022;24,04;0,03;4,94E-4;13,08
23,600;0,023;24,06;0,05;5,47E-4;13,08
23,700;0,017;24,04;0,03;2,94E-4;13,08
23,800;-3,140E-5;24,05;0,04;9,86E-10;13,08
23,900;0,004;24,06;0,05;1,69E-5;13,08
24,000;-3,140E-5;24,05;0,04;9,86E-10;13,08
24,100;3,140E-5;24,04;0,03;9,86E-10;13,08
24,200;0,000;24,04;0,03;0,00;13,08
24,300;-3,140E-5;24,04;0,03;9,86E-10;13,08
24,400;-3,140E-5;24,05;0,04;9,86E-10;13,08
24,500;-3,140E-5;24,05;0,04;9,86E-10;13,08
24,600;-6,281E-5;24,04;0,03;3,94E-9;13,08
24,700;-6,281E-5;24,04;0,03;3,94E-9;13,08
24,800;0,000;24,06;0,05;0,00;13,08
24,900;-6,281E-5;24,04;0,03;3,94E-9;13,08
25,000;2,826E-4;24,06;0,05;7,99E-8;13,08
25,100;0,072;24,05;0,04;0,01;13,08
25,200;0,148;24,06;0,05;0,02;13,11
25,300;0,160;24,05;0,04;0,03;13,13
25,400;0,228;24,04;0,03;0,05;13,18
25,500;0,427;24,06;0,05;0,18;13,37
25,600;0,344;24,05;0,04;0,12;13,48
25,700;0,255;24,04;0,03;0,06;13,55
25,800;0,243;24,04;0,03;0,06;13,61
25,900;0,337;24,04;0,03;0,11;13,72
26,000;0,426;24,04;0,03;0,18;13,90
26,100;0,323;24,06;0,05;0,10;14,01
26,200;0,296;24,07;0,06;0,09;14,10
26,300;0,343;24,06;0,05;0,12;14,21
26,400;0,490;24,06;0,05;0,24;14,45
26,500;0,399;24,04;0,03;0,16;14,61
26,600;0,264;24,06;0,05;0,07;14,68
26,700;0,378;24,04;0,03;0,14;14,83
26,800;0,526;24,06;0,05;0,28;15,10
26,900;0,409;24,04;0,03;0,17;15,27
27,000;0,292;24,06;0,05;0,09;15,35
27,100;0,428;24,07;0,06;0,18;15,54
27,200;0,535;24,04;0,03;0,29;15,82
27,300;0,265;24,07;0,06;0,07;15,89
27,400;0,339;24,04;0,03;0,11;16,01
27,500;0,417;24,06;0,05;0,17;16,18
27,600;0,521;24,06;0,05;0,27;16,45
27,700;0,272;24,05;0,04;0,07;16,53
27,800;0,345;24,05;0,04;0,12;16,65
27,900;0,418;24,06;0,05;0,17;16,82
28,000;0,515;24,05;0,04;0,27;17,09
28,100;0,334;24,05;0,04;0,11;17,20
28,200;0,320;24,05;0,04;0,10;17,30
28,300;0,419;24,04;0,03;0,18;17,48
28,400;0,502;24,05;0,04;0,25;17,73
28,500;0,349;24,04;0,03;0,12;17,85
28,600;0,290;24,06;0,05;0,08;17,93
28,700;0,356;24,05;0,04;0,13;18,06
28,800;0,489;24,04;0,03;0,24;18,30
28,900;0,328;24,04;0,03;0,11;18,41
29,000;0,337;24,06;0,05;0,11;18,52
29,100;0,480;24,05;0,04;0,23;18,75
29,200;0,513;24,06;0,05;0,26;19,01
29,300;0,295;24,06;0,05;0,09;19,10
29,400;0,323;24,06;0,05;0,10;19,21
29,500;0,449;24,04;0,03;0,20;19,41
29,600;0,462;24,06;0,05;0,21;19,62
29,700;0,312;24,05;0,04;0,10;19,72
29,800;0,328;24,07;0,06;0,11;19,83
29,900;0,525;24,06;0,05;0,28;20,10
30,000;0,398;24,05;0,04;0,16;20,26
30,100;0,332;24,06;0,05;0,11;20,37
30,200;0,323;24,07;0,06;0,10;20,47
30,300;0,528;24,05;0,04;0,28;20,75
30,400;0,351;24,07;0,06;0,12;20,88
30,500;0,340;24,07;0,06;0,12;20,99
30,600;0,340;24,06;0,05;0,12;21,11
30,700;0,550;24,06;0,05;0,30;21,41
30,800;0,335;24,06;0,05;0,11;21,52
30,900;0,294;24,06;0,05;0,09;21,61
31,000;0,335;24,06;0,05;0,11;21,72
31,100;0,530;24,06;0,05;0,28;22,00
31,200;0,315;24,06;0,05;0,10;22,10
31,300;0,293;24,09;0,08;0,09;22,19
31,400;0,280;24,05;0,04;0,08;22,27
31,500;0,461;24,07;0,06;0,21;22,48
31,600;0,441;24,04;0,03;0,19;22,67
31,700;0,285;24,04;0,03;0,08;22,75
31,800;0,275;24,09;0,08;0,08;22,83
31,900;0,465;24,07;0,06;0,22;23,05
32,000;0,485;24,06;0,05;0,24;23,28
32,100;0,303;24,05;0,04;0,09;23,37
32,200;0,312;24,04;0,03;0,10;23,47
32,300;0,519;24,05;0,04;0,27;23,74
32,400;0,458;24,07;0,06;0,21;23,95
32,500;0,293;24,06;0,05;0,09;24,04
32,600;0,367;24,06;0,05;0,13;24,17
32,700;0,531;24,06;0,05;0,28;24,45
32,800;0,294;24,06;0,05;0,09;24,54
32,900;0,297;24,07;0,06;0,09;24,63
33,000;0,267;24,05;0,04;0,07;24,70
33,100;0,380;24,06;0,05;0,14;24,84
33,200;0,394;24,07;0,06;0,15;25,00
33,300;0,260;24,05;0,04;0,07;25,07
33,400;0,311;24,04;0,03;0,10;25,16
33,500;0,479;24,07;0,06;0,23;25,39
33,600;0,552;24,05;0,04;0,31;25,70
33,700;0,251;24,04;0,03;0,06;25,76
33,800;0,366;24,05;0,04;0,13;25,89
33,900;0,489;24,07;0,06;0,24;26,13
34,000;0,486;24,04;0,03;0,24;26,37
34,100;0,306;24,05;0,04;0,09;26,46
34,200;0,342;24,06;0,05;0,12;26,58
34,300;0,473;24,06;0,05;0,22;26,80
34,400;0,455;24,05;0,04;0,21;27,01
34,500;0,286;24,06;0,05;0,08;27,09
34,600;0,293;24,06;0,05;0,09;27,18
34,700;0,419;24,06;0,05;0,18;27,35
34,800;0,493;24,07;0,06;0,24;27,60
34,900;0,299;24,06;0,05;0,09;27,69
35,000;0,294;24,06;0,05;0,09;27,77
35,100;0,336;24,05;0,04;0,11;27,89
